"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"7000000US17031001001","Wd 01 Pct 01, Cook County, Illinois","633","596","37",
"7000000US17031001002","Wd 01 Pct 02, Cook County, Illinois","695","649","46",
"7000000US17031001003","Wd 01 Pct 03, Cook County, Illinois","777","712","65",
"7000000US17031001004","Wd 01 Pct 04, Cook County, Illinois","805","764","41",
"7000000US17031001005","Wd 01 Pct 05, Cook County, Illinois","762","724","38",
"7000000US17031001006","Wd 01 Pct 06, Cook County, Illinois","754","711","43",
"7000000US17031001007","Wd 01 Pct 07, Cook County, Illinois","518","500","18",
"7000000US17031001008","Wd 01 Pct 08, Cook County, Illinois","816","782","34",
"7000000US17031001009","Wd 01 Pct 09, Cook County, Illinois","610","577","33",
"7000000US17031001010","Wd 01 Pct 10, Cook County, Illinois","963","923","40",
"7000000US17031001011","Wd 01 Pct 11, Cook County, Illinois","740","675","65",
"7000000US17031001012","Wd 01 Pct 12, Cook County, Illinois","946","896","50",
"7000000US17031001013","Wd 01 Pct 13, Cook County, Illinois","404","378","26",
"7000000US17031001014","Wd 01 Pct 14, Cook County, Illinois","624","573","51",
"7000000US17031001015","Wd 01 Pct 15, Cook County, Illinois","622","578","44",
"7000000US17031001016","Wd 01 Pct 16, Cook County, Illinois","785","736","49",
"7000000US17031001017","Wd 01 Pct 17, Cook County, Illinois","601","577","24",
"7000000US17031001018","Wd 01 Pct 18, Cook County, Illinois","666","625","41",
"7000000US17031001019","Wd 01 Pct 19, Cook County, Illinois","904","831","73",
"7000000US17031001020","Wd 01 Pct 20, Cook County, Illinois","584","513","71",
"7000000US17031001021","Wd 01 Pct 21, Cook County, Illinois","1060","952","108",
"7000000US17031001022","Wd 01 Pct 22, Cook County, Illinois","431","399","32",
"7000000US17031001023","Wd 01 Pct 23, Cook County, Illinois","884","821","63",
"7000000US17031001024","Wd 01 Pct 24, Cook County, Illinois","675","599","76",
"7000000US17031001025","Wd 01 Pct 25, Cook County, Illinois","678","614","64",
"7000000US17031001026","Wd 01 Pct 26, Cook County, Illinois","516","475","41",
"7000000US17031001027","Wd 01 Pct 27, Cook County, Illinois","687","648","39",
"7000000US17031001028","Wd 01 Pct 28, Cook County, Illinois","567","337","230",
"7000000US17031001029","Wd 01 Pct 29, Cook County, Illinois","832","771","61",
"7000000US17031001030","Wd 01 Pct 30, Cook County, Illinois","801","736","65",
"7000000US17031001031","Wd 01 Pct 31, Cook County, Illinois","650","587","63",
"7000000US17031001032","Wd 01 Pct 32, Cook County, Illinois","669","638","31",
"7000000US17031001033","Wd 01 Pct 33, Cook County, Illinois","798","747","51",
"7000000US17031001034","Wd 01 Pct 34, Cook County, Illinois","498","481","17",
"7000000US17031001035","Wd 01 Pct 35, Cook County, Illinois","824","781","43",
"7000000US17031001036","Wd 01 Pct 36, Cook County, Illinois","722","707","15",
"7000000US17031001037","Wd 01 Pct 37, Cook County, Illinois","725","692","33",
"7000000US17031001038","Wd 01 Pct 38, Cook County, Illinois","702","652","50",
"7000000US17031001039","Wd 01 Pct 39, Cook County, Illinois","569","532","37",
"7000000US17031001040","Wd 01 Pct 40, Cook County, Illinois","893","852","41",
"7000000US17031001041","Wd 01 Pct 41, Cook County, Illinois","355","333","22",
"7000000US17031001042","Wd 01 Pct 42, Cook County, Illinois","210","197","13",
"7000000US17031001043","Wd 01 Pct 43, Cook County, Illinois","465","392","73",
"7000000US17031001044","Wd 01 Pct 44, Cook County, Illinois","596","540","56",
"7000000US17031002001","Wd 02 Pct 01, Cook County, Illinois","954","886","68",
"7000000US17031002002","Wd 02 Pct 02, Cook County, Illinois","843","602","241",
"7000000US17031002003","Wd 02 Pct 03, Cook County, Illinois","812","772","40",
"7000000US17031002004","Wd 02 Pct 04, Cook County, Illinois","764","682","82",
"7000000US17031002005","Wd 02 Pct 05, Cook County, Illinois","869","829","40",
"7000000US17031002006","Wd 02 Pct 06, Cook County, Illinois","808","761","47",
"7000000US17031002007","Wd 02 Pct 07, Cook County, Illinois","581","542","39",
"7000000US17031002008","Wd 02 Pct 08, Cook County, Illinois","950","873","77",
"7000000US17031002009","Wd 02 Pct 09, Cook County, Illinois","863","601","262",
"7000000US17031002010","Wd 02 Pct 10, Cook County, Illinois","848","650","198",
"7000000US17031002011","Wd 02 Pct 11, Cook County, Illinois","1087","793","294",
"7000000US17031002012","Wd 02 Pct 12, Cook County, Illinois","520","478","42",
"7000000US17031002013","Wd 02 Pct 13, Cook County, Illinois","813","468","345",
"7000000US17031002014","Wd 02 Pct 14, Cook County, Illinois","712","658","54",
"7000000US17031002015","Wd 02 Pct 15, Cook County, Illinois","578","552","26",
"7000000US17031002016","Wd 02 Pct 16, Cook County, Illinois","654","616","38",
"7000000US17031002017","Wd 02 Pct 17, Cook County, Illinois","787","728","59",
"7000000US17031002018","Wd 02 Pct 18, Cook County, Illinois","1088","918","170",
"7000000US17031002019","Wd 02 Pct 19, Cook County, Illinois","795","642","153",
"7000000US17031002020","Wd 02 Pct 20, Cook County, Illinois","1075","973","102",
"7000000US17031002021","Wd 02 Pct 21, Cook County, Illinois","714","655","59",
"7000000US17031002022","Wd 02 Pct 22, Cook County, Illinois","594","548","46",
"7000000US17031002023","Wd 02 Pct 23, Cook County, Illinois","435","353","82",
"7000000US17031002024","Wd 02 Pct 24, Cook County, Illinois","624","577","47",
"7000000US17031002025","Wd 02 Pct 25, Cook County, Illinois","725","662","63",
"7000000US17031002026","Wd 02 Pct 26, Cook County, Illinois","724","685","39",
"7000000US17031002027","Wd 02 Pct 27, Cook County, Illinois","1133","958","175",
"7000000US17031002028","Wd 02 Pct 28, Cook County, Illinois","1155","1068","87",
"7000000US17031002029","Wd 02 Pct 29, Cook County, Illinois","1305","1157","148",
"7000000US17031002030","Wd 02 Pct 30, Cook County, Illinois","817","721","96",
"7000000US17031002031","Wd 02 Pct 31, Cook County, Illinois","952","813","139",
"7000000US17031002032","Wd 02 Pct 32, Cook County, Illinois","792","741","51",
"7000000US17031002033","Wd 02 Pct 33, Cook County, Illinois","835","760","75",
"7000000US17031002034","Wd 02 Pct 34, Cook County, Illinois","514","441","73",
"7000000US17031002035","Wd 02 Pct 35, Cook County, Illinois","1286","1174","112",
"7000000US17031002036","Wd 02 Pct 36, Cook County, Illinois","1169","1099","70",
"7000000US17031002037","Wd 02 Pct 37, Cook County, Illinois","729","657","72",
"7000000US17031002038","Wd 02 Pct 38, Cook County, Illinois","851","690","161",
"7000000US17031002039","Wd 02 Pct 39, Cook County, Illinois","777","719","58",
"7000000US17031002040","Wd 02 Pct 40, Cook County, Illinois","1825","1661","164",
"7000000US17031002041","Wd 02 Pct 41, Cook County, Illinois","1311","1040","271",
"7000000US17031002042","Wd 02 Pct 42, Cook County, Illinois","1442","1308","134",
"7000000US17031002043","Wd 02 Pct 43, Cook County, Illinois","1624","1453","171",
"7000000US17031002044","Wd 02 Pct 44, Cook County, Illinois","1014","937","77",
"7000000US17031002045","Wd 02 Pct 45, Cook County, Illinois","1702","1507","195",
"7000000US17031002046","Wd 02 Pct 46, Cook County, Illinois","408","334","74",
"7000000US17031003001","Wd 03 Pct 01, Cook County, Illinois","1101","1003","98",
"7000000US17031003002","Wd 03 Pct 02, Cook County, Illinois","786","748","38",
"7000000US17031003003","Wd 03 Pct 03, Cook County, Illinois","846","807","39",
"7000000US17031003004","Wd 03 Pct 04, Cook County, Illinois","622","557","65",
"7000000US17031003005","Wd 03 Pct 05, Cook County, Illinois","476","384","92",
"7000000US17031003006","Wd 03 Pct 06, Cook County, Illinois","669","654","15",
"7000000US17031003007","Wd 03 Pct 07, Cook County, Illinois","630","495","135",
"7000000US17031003008","Wd 03 Pct 08, Cook County, Illinois","816","687","129",
"7000000US17031003009","Wd 03 Pct 09, Cook County, Illinois","714","622","92",
"7000000US17031003010","Wd 03 Pct 10, Cook County, Illinois","371","279","92",
"7000000US17031003011","Wd 03 Pct 11, Cook County, Illinois","757","635","122",
"7000000US17031003012","Wd 03 Pct 12, Cook County, Illinois","688","603","85",
"7000000US17031003013","Wd 03 Pct 13, Cook County, Illinois","638","630","8",
"7000000US17031003014","Wd 03 Pct 14, Cook County, Illinois","902","682","220",
"7000000US17031003015","Wd 03 Pct 15, Cook County, Illinois","782","682","100",
"7000000US17031003016","Wd 03 Pct 16, Cook County, Illinois","732","650","82",
"7000000US17031003017","Wd 03 Pct 17, Cook County, Illinois","1347","1223","124",
"7000000US17031003018","Wd 03 Pct 18, Cook County, Illinois","1279","1168","111",
"7000000US17031003019","Wd 03 Pct 19, Cook County, Illinois","774","719","55",
"7000000US17031003020","Wd 03 Pct 20, Cook County, Illinois","757","658","99",
"7000000US17031003021","Wd 03 Pct 21, Cook County, Illinois","794","764","30",
"7000000US17031003022","Wd 03 Pct 22, Cook County, Illinois","1267","1220","47",
"7000000US17031003023","Wd 03 Pct 23, Cook County, Illinois","703","656","47",
"7000000US17031003024","Wd 03 Pct 24, Cook County, Illinois","683","650","33",
"7000000US17031003025","Wd 03 Pct 25, Cook County, Illinois","1263","1110","153",
"7000000US17031003026","Wd 03 Pct 26, Cook County, Illinois","495","460","35",
"7000000US17031003027","Wd 03 Pct 27, Cook County, Illinois","955","898","57",
"7000000US17031003028","Wd 03 Pct 28, Cook County, Illinois","554","448","106",
"7000000US17031003029","Wd 03 Pct 29, Cook County, Illinois","912","870","42",
"7000000US17031003030","Wd 03 Pct 30, Cook County, Illinois","791","681","110",
"7000000US17031003031","Wd 03 Pct 31, Cook County, Illinois","844","727","117",
"7000000US17031003032","Wd 03 Pct 32, Cook County, Illinois","2059","1724","335",
"7000000US17031003033","Wd 03 Pct 33, Cook County, Illinois","1031","956","75",
"7000000US17031003034","Wd 03 Pct 34, Cook County, Illinois","1458","1303","155",
"7000000US17031003035","Wd 03 Pct 35, Cook County, Illinois","283","270","13",
"7000000US17031003036","Wd 03 Pct 36, Cook County, Illinois","419","332","87",
"7000000US17031003037","Wd 03 Pct 37, Cook County, Illinois","849","716","133",
